"Section","Section.name","SIC2dg1","Division.name","Group","Group.name","Class","Class.name","SectionAbb"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",111,"Growing of cereals (except rice), leguminous crops and oil seeds","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",112,"Growing of rice","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",113,"Growing of vegetables and melons, roots and tubers","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",114,"Growing of sugar cane","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",115,"Growing of tobacco","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",116,"Growing of fibre crops","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops",119,"Growing of other non-perennial crops","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",121,"Growing of grapes","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",122,"Growing of tropical and subtropical fruits","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",123,"Growing of citrus fruits","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",124,"Growing of pome fruits and stone fruits","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",125,"Growing of other tree and bush fruits and nuts","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",126,"Growing of oleaginous fruits","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",127,"Growing of beverage crops","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",128,"Growing of spices, aromatic, drug and pharmaceutical crops","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",12,"Growing of perennial crops",129,"Growing of other perennial crops","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",13,"Plant propagation",130,"Plant propagation","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",141,"Raising of dairy cattle","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",142,"Raising of other cattle and buffaloes","Agriculture"
"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",14,"Animal production",143,"Raising of horses and other equines","Agriculture"
