"SIC.4","year","median","Section","Section.name","SIC2dg1","Division.name","Group","Group.name","Class.name","SectionAbb"
1,2018,15,NA,NA,NA,NA,NA,NA,NA,NA
1,2019,16,NA,NA,NA,NA,NA,NA,NA,NA
1,2020,11,NA,NA,NA,NA,NA,NA,NA,NA
1,2021,10,NA,NA,NA,NA,NA,NA,NA,NA
1,2022,8.95,NA,NA,NA,NA,NA,NA,NA,NA
111,2018,1.5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Agriculture"
111,2019,2.3,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Agriculture"
111,2020,9.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Agriculture"
111,2021,6.5,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Agriculture"
111,2022,4.2,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of cereals (except rice), leguminous crops and oil seeds","Agriculture"
113,2018,8.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of vegetables and melons, roots and tubers","Agriculture"
113,2019,3.6,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of vegetables and melons, roots and tubers","Agriculture"
113,2020,0.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of vegetables and melons, roots and tubers","Agriculture"
113,2021,1.9,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of vegetables and melons, roots and tubers","Agriculture"
113,2022,0,"A","Agriculture, forestry and fishing",1,"Crop and animal production, hunting and related service activities",11,"Growing of non-perennial crops","Growing of vegetables and melons, roots and tubers","Agriculture"
